Date,Chan1,Chan2,Chan3,Chan4,Chan5,Chan6,Chan7,Chan8
2024.10.16 21:14:00,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.16 21:16:30,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.16 21:17:00,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.16 21:17:30,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.16 21:18:00,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.16 21:18:30,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.16 21:19:00,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.16 21:19:30,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.16 21:20:02,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.16 21:20:30,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.16 21:21:00,24930,25444,25958,26472,23278,4744,43316,4812
